iter	RMSE
0	0.4772763321
1	0.4559858681
2	0.4373862211
3	0.4188545103
4	0.4009730979
5	0.3836598556
6	0.3670626176
7	0.3507478071
8	0.336963601
9	0.3224325499
10	0.3082172602
11	0.2954887068
12	0.2837199661
13	0.2718837365
14	0.2613747273
15	0.2503235565
16	0.241104063
17	0.2320266586
18	0.2223439061
19	0.2131023735
20	0.2044400928
21	0.1963268527
22	0.1882587908
23	0.1809783324
24	0.1738439275
25	0.167166128
26	0.1610327788
27	0.1558458205
28	0.1505056581
29	0.1447723539
30	0.1391897916
31	0.1341132893
32	0.1291677569
33	0.1244222763
34	0.120412745
35	0.1165885392
36	0.1128448879
37	0.1093460004
38	0.1057526819
39	0.1024648305
40	0.09963757766
41	0.09674214151
42	0.09416705884
43	0.09141477842
44	0.08897426153
45	0.08643744167
46	0.08413243928
47	0.08200167101
48	0.08001123252
49	0.0780973538
50	0.07636828465
51	0.07476928287
52	0.07314072352
53	0.0716513173
54	0.07011145257
55	0.06849099688
56	0.0671016714
57	0.06592395763
58	0.06490349044
59	0.06391951791
60	0.06291909897
61	0.06186841208
62	0.06060141867
63	0.05994640307
64	0.05900216557
65	0.05833138819
66	0.05754892117
67	0.05670021788
68	0.05603246484
69	0.05523548099
70	0.05476316251
71	0.05395166239
72	0.05330303811
73	0.0527775849
74	0.05212728629
75	0.05169671482
76	0.0509625122
77	0.05034522822
78	0.04988439454
79	0.04962521882
80	0.04917597775
81	0.04878748679
82	0.04829644407
83	0.04771308794
84	0.04729327741
85	0.04702130707
86	0.04658324452
87	0.04616515341
88	0.0458097299
89	0.04550004388
90	0.04515174762
91	0.0448023539
92	0.04453938885
93	0.0440365066
94	0.0437897114
95	0.04320518737
96	0.04292533465
97	0.04248291211
98	0.04219177697
99	0.04195662973
100	0.04170733872
101	0.04153484866
102	0.04104902091
103	0.04076683046
104	0.04052804094
105	0.0404483758
106	0.04022274755
107	0.0399879227
108	0.03986568087
109	0.03972749146
110	0.03947794001
111	0.03922547183
112	0.03903279276
113	0.03889309947
114	0.03871633305
115	0.03841882802
116	0.03824272803
117	0.03805085258
118	0.03791553165
119	0.0376584594
120	0.03752883658
121	0.03745399011
122	0.03739792794
123	0.0373188557
124	0.03716051843
125	0.03696603599
126	0.0368118977
127	0.03662345225
128	0.03642161756
129	0.03623673118
130	0.03609348516
131	0.03593895181
132	0.03582475542
133	0.03568430019
134	0.03559783046
135	0.03545490279
136	0.03513785619
137	0.03498482648
138	0.03465529791
139	0.0344754098
140	0.034378316
141	0.03422285546
142	0.03417127349
143	0.03407770021
144	0.03390339015
145	0.03377379253
146	0.03359179816
147	0.03349838553
148	0.0333276237
149	0.03312371328
150	0.03302246503
151	0.03290757343
152	0.03283693525
153	0.03279173155
154	0.0327614003
155	0.03263445932
156	0.03257440931
157	0.0324164839
158	0.03218899847
159	0.03211824383
160	0.03200473889
161	0.03192322985
162	0.03188062338
163	0.03182506064
164	0.03160058891
165	0.03151517784
166	0.03135494818
167	0.03111737153
168	0.03103526621
169	0.03099544072
170	0.03092876044
171	0.03083266094
172	0.0307712716
173	0.03068894833
174	0.03060025898
175	0.03046482533
176	0.03038039758
177	0.03033513665
178	0.03017692308
179	0.03011240087
